latitude,longitude,turbidez,clorofila,data,B2,B3,B4,B5,B8,B11,NDCI,NDVI,FAI,MNDWI,B3_B2_ratio,B4_B3_ratio,B5_B4_ratio,Image_Date,Cloud_Percentage,Month,Season
-18.8325,-45.13306,,1.07,2016-08-25,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,,1.07,2016-08-25,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,,1.07,2016-08-25,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,,1.07,2016-11-08,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,,1.07,2016-11-08,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,,1.07,2016-11-08,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,,1.07,2016-11-09,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,,1.07,2016-11-09,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,,1.07,2016-11-09,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,,1.07,2017-02-16,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,,1.07,2017-02-16,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,,1.07,2017-02-16,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,,1.07,2017-02-17,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,,2.14,2017-02-17,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,,1.07,2017-02-17,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,,1.07,2018-02-27,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,,1.07,2018-02-28,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,,1.07,2018-03-01,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,,1.07,2018-03-02,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,,1.07,2018-03-02,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,,1.07,2018-03-02,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,,1.07,2018-05-15,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,,1.07,2018-05-16,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,,1.07,2018-05-16,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,,1.07,2018-05-17,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,,1.07,2018-05-17,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,,1.07,2018-05-17,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,,57.7,2018-08-21,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,,19.2,2018-08-22,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,,1.07,2018-08-22,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,,1.07,2018-08-22,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,,1.07,2018-08-23,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,,1.07,2018-08-23,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,,1.07,2018-11-20,678.0,1038.0,451.0,323.0,134.0,78.0,-0.165374677002584,-0.5418803418803418,-250.68888888888887,0.8602150537634409,1.5309734513274336,0.4344894026974952,0.7161862527716186,2018-12-18,8.252701,12.0,1.0
