Parâmetro,PONTO,DATA,UN.,RESULT.
Oxigênio Dissolvido,CLA-08,2018-01-01,mg/L,5.0
pH,CLA-08,2018-01-01,mg/L,6.2
Sólidos Dissolvidos,CLA-08,2018-01-01,mg/L,7.0
Sulfato Total,CLA-08,2018-01-01,mg/L,0.0
Temperatura da Água,CLA-08,2018-01-01,°C,26.6
Transparência da Água,CLA-08,2018-01-01,m,
Turbidez,CLA-08,2018-01-01,NTU,14.3
Coliformes Totais,CLA-08,2018-01-01,NMP/100mL,0.0
Escherichia coli,CLA-08,2018-01-01,NPM/100mL,0.0
Clorofila a,CLA-08,2018-01-01,μg/L,0.0
Alcalinidade Total,CLA-08CS,2018-01-01,mg/L,12.0
Alumínio Dissolvido ,CLA-08CS,2018-01-01,mg/L,0.026
Cloreto Total ,CLA-08CS,2018-01-01,mg/L,8.0
Cobre Dissolvido ,CLA-08CS,2018-01-01,mg/L,0.554
Condutividade Elétrica,CLA-08CS,2018-01-01,μS/cm,16.0
Cor Verdadeira ,CLA-08CS,2018-01-01,UC,2.3
DBO ,CLA-08CS,2018-01-01,mg/L,
DQO,CLA-08CS,2018-01-01,mg/L,
Dureza Total ,CLA-08CS,2018-01-01,mg/L,12.0
Potássio Total ,CLA-08CS,2018-01-01,mg/L,0.0
Ferro Dissolvido,CLA-08CS,2018-01-01,mg/L,0.214
Fósforo Total ,CLA-08CS,2018-01-01,mg/L,0.56
Manganês Total ,CLA-08CS,2018-01-01,mg/L,0.123
Nitrogênio Amoniacal ,CLA-08CS,2018-01-01,mg/L,
Nitrato ,CLA-08CS,2018-01-01,mg/L,0.071
Nitrito ,CLA-08CS,2018-01-01,mg/L,0.003
Nitrogênio total,CLA-08CS,2018-01-01,mg/L,
Óleos e Graxas,CLA-08CS,2018-01-01,mg/L,0.0
Oxigênio Dissolvido,CLA-08CS,2018-01-01,mg/L,5.0
pH,CLA-08CS,2018-01-01,mg/L,6.53
Sólidos Dissolvidos,CLA-08CS,2018-01-01,mg/L,8.0
Sulfato Total,CLA-08CS,2018-01-01,mg/L,19.27
Temperatura da Água,CLA-08CS,2018-01-01,°C,26.4
Transparência da Água,CLA-08CS,2018-01-01,m,
Turbidez,CLA-08CS,2018-01-01,NTU,11.91
Coliformes Totais,CLA-08CS,2018-01-01,NMP/100mL,0.0
Escherichia coli,CLA-08CS,2018-01-01,NPM/100mL,0.0
Clorofila a,CLA-08CS,2018-01-01,μg/L,0.0
Alcalinidade Total,CLA-09,2018-01-01,mg/L,8.0
Alumínio Dissolvido ,CLA-09,2018-01-01,mg/L,0.0
Cloreto Total ,CLA-09,2018-01-01,mg/L,18.0
Cobre Dissolvido ,CLA-09,2018-01-01,mg/L,0.315
Condutividade Elétrica,CLA-09,2018-01-01,μS/cm,12.0
Cor Verdadeira ,CLA-09,2018-01-01,UC,1.0
DBO ,CLA-09,2018-01-01,mg/L,
DQO,CLA-09,2018-01-01,mg/L,
Dureza Total ,CLA-09,2018-01-01,mg/L,12.0
Potássio Total ,CLA-09,2018-01-01,mg/L,0.0
Ferro Dissolvido,CLA-09,2018-01-01,mg/L,0.1
Fósforo Total ,CLA-09,2018-01-01,mg/L,0.351
Manganês Total ,CLA-09,2018-01-01,mg/L,0.036
Nitrogênio Amoniacal ,CLA-09,2018-01-01,mg/L,
Nitrato ,CLA-09,2018-01-01,mg/L,0.054
Nitrito ,CLA-09,2018-01-01,mg/L,0.0
Nitrogênio total,CLA-09,2018-01-01,mg/L,
Óleos e Graxas,CLA-09,2018-01-01,mg/L,0.0
Oxigênio Dissolvido,CLA-09,2018-01-01,mg/L,5.6
pH,CLA-09,2018-01-01,mg/L,6.53
Sólidos Dissolvidos,CLA-09,2018-01-01,mg/L,6.0
Sulfato Total,CLA-09,2018-01-01,mg/L,18.32
Temperatura da Água,CLA-09,2018-01-01,°C,26.1
Transparência da Água,CLA-09,2018-01-01,m,
Turbidez,CLA-09,2018-01-01,NTU,10.8
Coliformes Totais,CLA-09,2018-01-01,NMP/100mL,0.0
Escherichia coli,CLA-09,2018-01-01,NPM/100mL,0.0
Clorofila a,CLA-09,2018-01-01,μg/L,0.0
Alcalinidade Total,CLA-ETE,,mg/L,
Alumínio Dissolvido ,CLA-ETE,,mg/L,
Cloreto Total ,CLA-ETE,,mg/L,
Cobre Dissolvido ,CLA-ETE,,mg/L,
Condutividade Elétrica,CLA-ETE,,μS/cm,
Cor Verdadeira ,CLA-ETE,,UC,
DBO ,CLA-ETE,,mg/L,
DQO,CLA-ETE,,mg/L,
Dureza Total ,CLA-ETE,,mg/L,
Potássio Total ,CLA-ETE,,mg/L,
Ferro Dissolvido,CLA-ETE,,mg/L,
Fósforo Total ,CLA-ETE,,mg/L,
Manganês Total ,CLA-ETE,,mg/L,
Nitrogênio Amoniacal ,CLA-ETE,,mg/L,
Nitrato ,CLA-ETE,,mg/L,
Nitrito ,CLA-ETE,,mg/L,
Nitrogênio total,CLA-ETE,,mg/L,
Óleos e Graxas,CLA-ETE,,mg/L,
Oxigênio Dissolvido,CLA-ETE,,mg/L,
pH,CLA-ETE,,mg/L,
Sólidos Dissolvidos,CLA-ETE,,mg/L,
Sulfato Total,CLA-ETE,,mg/L,
Temperatura da Água,CLA-ETE,,°C,
Transparência da Água,CLA-ETE,,m,
Turbidez,CLA-ETE,,NTU,
Coliformes Totais,CLA-ETE,,NMP/100mL,
Escherichia coli,CLA-ETE,,NPM/100mL,
Clorofila a,CLA-ETE,2018-01-01,μg/L,
Alcalinidade Total,CLA-01,2018-03-20,mg/L,12.0
Alumínio Dissolvido ,CLA-01,2018-03-20,mg/L,0.0
Cloreto Total ,CLA-01,2018-03-20,mg/L,20.0
Cobre Dissolvido ,CLA-01,2018-03-20,mg/L,0.0
Condutividade Elétrica,CLA-01,2018-03-20,μS/cm,21.0
Cor Verdadeira ,CLA-01,2018-03-20,UC,17.1
DBO ,CLA-01,2018-03-20,mg/L,
DQO,CLA-01,2018-03-20,mg/L,
Dureza Total ,CLA-01,2018-03-20,mg/L,12.0
Potássio Total ,CLA-01,2018-03-20,mg/L,0.0
Ferro Dissolvido,CLA-01,2018-03-20,mg/L,0.242
Fósforo Total ,CLA-01,2018-03-20,mg/L,0.188
Manganês Total ,CLA-01,2018-03-20,mg/L,0.16
Nitrogênio Amoniacal ,CLA-01,2018-03-20,mg/L,
Nitrato ,CLA-01,2018-03-20,mg/L,0.03
Nitrito ,CLA-01,2018-03-20,mg/L,0.0
Nitrogênio total,CLA-01,2018-03-20,mg/L,
Óleos e Graxas,CLA-01,2018-03-20,mg/L,0.0
Oxigênio Dissolvido,CLA-01,2018-03-20,mg/L,4.8
pH,CLA-01,2018-03-20,mg/L,6.85
Sólidos Dissolvidos,CLA-01,2018-03-20,mg/L,10.0
Sulfato Total,CLA-01,2018-03-20,mg/L,14.32
Temperatura da Água,CLA-01,2018-03-20,°C,28.6
Transparência da Água,CLA-01,2018-03-20,m,
Turbidez,CLA-01,2018-03-20,NTU,18.4
Coliformes Totais,CLA-01,2018-03-20,NMP/100mL,0.0
Escherichia coli,CLA-01,2018-03-20,NPM/100mL,0.0
Clorofila a,CLA-01,2018-03-20,μg/L,0.9
Alcalinidade Total,CLA-02,2018-03-20,mg/L,8.0
Alumínio Dissolvido ,CLA-02,2018-03-20,mg/L,0.0
Cloreto Total ,CLA-02,2018-03-20,mg/L,18.0
Cobre Dissolvido ,CLA-02,2018-03-20,mg/L,0.0
Condutividade Elétrica,CLA-02,2018-03-20,μS/cm,23.0
Cor Verdadeira ,CLA-02,2018-03-20,UC,8.1
