Parâmetro,PONTO,DATA,UN.,RESULT.
Potássio Total ,CLA-05,2018-03-21,mg/L,0.0
Ferro Dissolvido,CLA-05,2018-03-21,mg/L,0.511
Fósforo Total ,CLA-05,2018-03-21,mg/L,1.202
Manganês Total ,CLA-05,2018-03-21,mg/L,0.219
Nitrogênio Amoniacal ,CLA-05,2018-03-21,mg/L,
Nitrato ,CLA-05,2018-03-21,mg/L,0.155
Nitrito ,CLA-05,2018-03-21,mg/L,0.009
Nitrogênio total,CLA-05,2018-03-21,mg/L,
Óleos e Graxas,CLA-05,2018-03-21,mg/L,1.6
Oxigênio Dissolvido,CLA-05,2018-03-21,mg/L,4.6
pH,CLA-05,2018-03-21,mg/L,7.35
Sólidos Dissolvidos,CLA-05,2018-03-21,mg/L,11.0
Sulfato Total,CLA-05,2018-03-21,mg/L,31.8
Temperatura da Água,CLA-05,2018-03-21,°C,25.2
Transparência da Água,CLA-05,2018-03-21,m,
Turbidez,CLA-05,2018-03-21,NTU,23.8
Coliformes Totais,CLA-05,2018-03-21,NMP/100mL,7.12
Escherichia coli,CLA-05,2018-03-21,NPM/100mL,22.0
Clorofila a,CLA-05,2018-03-21,μg/L,1.1
Alcalinidade Total,CLA-06,2018-03-21,mg/L,12.0
Alumínio Dissolvido ,CLA-06,2018-03-21,mg/L,0.049
Cloreto Total ,CLA-06,2018-03-21,mg/L,19.2
Cobre Dissolvido ,CLA-06,2018-03-21,mg/L,0.0
Condutividade Elétrica,CLA-06,2018-03-21,μS/cm,18.0
Cor Verdadeira ,CLA-06,2018-03-21,UC,13.6
DBO ,CLA-06,2018-03-21,mg/L,
DQO,CLA-06,2018-03-21,mg/L,
Dureza Total ,CLA-06,2018-03-21,mg/L,8.0
Potássio Total ,CLA-06,2018-03-21,mg/L,0.0
Ferro Dissolvido,CLA-06,2018-03-21,mg/L,0.55
Fósforo Total ,CLA-06,2018-03-21,mg/L,1.346
Manganês Total ,CLA-06,2018-03-21,mg/L,0.249
Nitrogênio Amoniacal ,CLA-06,2018-03-21,mg/L,
Nitrato ,CLA-06,2018-03-21,mg/L,0.15
Nitrito ,CLA-06,2018-03-21,mg/L,0.011
Nitrogênio total,CLA-06,2018-03-21,mg/L,
Óleos e Graxas,CLA-06,2018-03-21,mg/L,0.0
Oxigênio Dissolvido,CLA-06,2018-03-21,mg/L,4.8
pH,CLA-06,2018-03-21,mg/L,6.88
Sólidos Dissolvidos,CLA-06,2018-03-21,mg/L,9.0
Sulfato Total,CLA-06,2018-03-21,mg/L,20.6
Temperatura da Água,CLA-06,2018-03-21,°C,27.3
Transparência da Água,CLA-06,2018-03-21,m,
Turbidez,CLA-06,2018-03-21,NTU,21.3
Coliformes Totais,CLA-06,2018-03-21,NMP/100mL,0.0
Escherichia coli,CLA-06,2018-03-21,NPM/100mL,0.0
Clorofila a,CLA-06,2018-03-21,μg/L,0.0
Alcalinidade Total,CLA-06B,2018-03-21,mg/L,8.0
Alumínio Dissolvido ,CLA-06B,2018-03-21,mg/L,0.003
Cloreto Total ,CLA-06B,2018-03-21,mg/L,4.0
Cobre Dissolvido ,CLA-06B,2018-03-21,mg/L,0.0
Condutividade Elétrica,CLA-06B,2018-03-21,μS/cm,23.0
Cor Verdadeira ,CLA-06B,2018-03-21,UC,12.8
DBO ,CLA-06B,2018-03-21,mg/L,
DQO,CLA-06B,2018-03-21,mg/L,
Dureza Total ,CLA-06B,2018-03-21,mg/L,12.0
Potássio Total ,CLA-06B,2018-03-21,mg/L,0.0
Ferro Dissolvido,CLA-06B,2018-03-21,mg/L,0.622
Fósforo Total ,CLA-06B,2018-03-21,mg/L,1.319
Manganês Total ,CLA-06B,2018-03-21,mg/L,0.218
Nitrogênio Amoniacal ,CLA-06B,2018-03-21,mg/L,
Nitrato ,CLA-06B,2018-03-21,mg/L,0.167
Nitrito ,CLA-06B,2018-03-21,mg/L,0.008
Nitrogênio total,CLA-06B,2018-03-21,mg/L,
Óleos e Graxas,CLA-06B,2018-03-21,mg/L,0.0
Oxigênio Dissolvido,CLA-06B,2018-03-21,mg/L,4.9
pH,CLA-06B,2018-03-21,mg/L,6.93
Sólidos Dissolvidos,CLA-06B,2018-03-21,mg/L,11.0
Sulfato Total,CLA-06B,2018-03-21,mg/L,23.29
Temperatura da Água,CLA-06B,2018-03-21,°C,26.6
Transparência da Água,CLA-06B,2018-03-21,m,
Turbidez,CLA-06B,2018-03-21,NTU,26.8
Coliformes Totais,CLA-06B,2018-03-21,NMP/100mL,263.0
Escherichia coli,CLA-06B,2018-03-21,NPM/100mL,0.0
Clorofila a,CLA-06B,2018-03-21,μg/L,0.0
Alcalinidade Total,CLA-07,2018-03-21,mg/L,12.0
Alumínio Dissolvido ,CLA-07,2018-03-21,mg/L,0.0
Cloreto Total ,CLA-07,2018-03-21,mg/L,8.0
Cobre Dissolvido ,CLA-07,2018-03-21,mg/L,0.0
Condutividade Elétrica,CLA-07,2018-03-21,μS/cm,16.0
Cor Verdadeira ,CLA-07,2018-03-21,UC,11.3
DBO ,CLA-07,2018-03-21,mg/L,
DQO,CLA-07,2018-03-21,mg/L,
Dureza Total ,CLA-07,2018-03-21,mg/L,6.0
Potássio Total ,CLA-07,2018-03-21,mg/L,0.0
Ferro Dissolvido,CLA-07,2018-03-21,mg/L,0.444
Fósforo Total ,CLA-07,2018-03-21,mg/L,1.258
Manganês Total ,CLA-07,2018-03-21,mg/L,0.001
Nitrogênio Amoniacal ,CLA-07,2018-03-21,mg/L,
Nitrato ,CLA-07,2018-03-21,mg/L,0.139
Nitrito ,CLA-07,2018-03-21,mg/L,0.007
Nitrogênio total,CLA-07,2018-03-21,mg/L,
Óleos e Graxas,CLA-07,2018-03-21,mg/L,0.0
Oxigênio Dissolvido,CLA-07,2018-03-21,mg/L,5.0
pH,CLA-07,2018-03-21,mg/L,6.91
Sólidos Dissolvidos,CLA-07,2018-03-21,mg/L,8.0
Sulfato Total,CLA-07,2018-03-21,mg/L,24.05
Temperatura da Água,CLA-07,2018-03-21,°C,27.2
Transparência da Água,CLA-07,2018-03-21,m,
Turbidez,CLA-07,2018-03-21,NTU,27.1
Coliformes Totais,CLA-07,2018-03-21,NMP/100mL,11.0
Escherichia coli,CLA-07,2018-03-21,NPM/100mL,0.0
Clorofila a,CLA-07,2018-03-21,μg/L,1.5
Alcalinidade Total,CLA-08,2018-03-21,mg/L,16.0
Alumínio Dissolvido ,CLA-08,2018-03-21,mg/L,0.0
Cloreto Total ,CLA-08,2018-03-21,mg/L,8.0
Cobre Dissolvido ,CLA-08,2018-03-21,mg/L,0.005
Condutividade Elétrica,CLA-08,2018-03-21,μS/cm,22.0
Cor Verdadeira ,CLA-08,2018-03-21,UC,11.6
DBO ,CLA-08,2018-03-21,mg/L,
DQO,CLA-08,2018-03-21,mg/L,
Dureza Total ,CLA-08,2018-03-21,mg/L,12.0
Potássio Total ,CLA-08,2018-03-21,mg/L,0.0
Ferro Dissolvido,CLA-08,2018-03-21,mg/L,0.147
Fósforo Total ,CLA-08,2018-03-21,mg/L,0.1
Manganês Total ,CLA-08,2018-03-21,mg/L,0.073
Nitrogênio Amoniacal ,CLA-08,2018-03-21,mg/L,
Nitrato ,CLA-08,2018-03-21,mg/L,0.06
Nitrito ,CLA-08,2018-03-21,mg/L,0.004
Nitrogênio total,CLA-08,2018-03-21,mg/L,
Óleos e Graxas,CLA-08,2018-03-21,mg/L,0.0
Oxigênio Dissolvido,CLA-08,2018-03-21,mg/L,5.0
pH,CLA-08,2018-03-21,mg/L,7.18
Sólidos Dissolvidos,CLA-08,2018-03-21,mg/L,11.0
Sulfato Total,CLA-08,2018-03-21,mg/L,9.6
Temperatura da Água,CLA-08,2018-03-21,°C,27.6
Transparência da Água,CLA-08,2018-03-21,m,
Turbidez,CLA-08,2018-03-21,NTU,19.8
Coliformes Totais,CLA-08,2018-03-21,NMP/100mL,0.0
Escherichia coli,CLA-08,2018-03-21,NPM/100mL,0.0
Clorofila a,CLA-08,2018-03-21,μg/L,0.0
Alcalinidade Total,CLA-08CS,2018-03-21,mg/L,12.0
Alumínio Dissolvido ,CLA-08CS,2018-03-21,mg/L,0.039
Cloreto Total ,CLA-08CS,2018-03-21,mg/L,12.0
Cobre Dissolvido ,CLA-08CS,2018-03-21,mg/L,0.003
Condutividade Elétrica,CLA-08CS,2018-03-21,μS/cm,19.0
Cor Verdadeira ,CLA-08CS,2018-03-21,UC,15.4
DBO ,CLA-08CS,2018-03-21,mg/L,
DQO,CLA-08CS,2018-03-21,mg/L,
Dureza Total ,CLA-08CS,2018-03-21,mg/L,8.0
Potássio Total ,CLA-08CS,2018-03-21,mg/L,0.0
Ferro Dissolvido,CLA-08CS,2018-03-21,mg/L,0.105
Fósforo Total ,CLA-08CS,2018-03-21,mg/L,1.127
Manganês Total ,CLA-08CS,2018-03-21,mg/L,0.017
Nitrogênio Amoniacal ,CLA-08CS,2018-03-21,mg/L,
Nitrato ,CLA-08CS,2018-03-21,mg/L,0.038
Nitrito ,CLA-08CS,2018-03-21,mg/L,0.0
Nitrogênio total,CLA-08CS,2018-03-21,mg/L,
Óleos e Graxas,CLA-08CS,2018-03-21,mg/L,0.0
Oxigênio Dissolvido,CLA-08CS,2018-03-21,mg/L,4.8
pH,CLA-08CS,2018-03-21,mg/L,7.5
Sólidos Dissolvidos,CLA-08CS,2018-03-21,mg/L,9.0
Sulfato Total,CLA-08CS,2018-03-21,mg/L,15.82
Temperatura da Água,CLA-08CS,2018-03-21,°C,28.2
Transparência da Água,CLA-08CS,2018-03-21,m,
Turbidez,CLA-08CS,2018-03-21,NTU,20.3
Coliformes Totais,CLA-08CS,2018-03-21,NMP/100mL,0.0
Escherichia coli,CLA-08CS,2018-03-21,NPM/100mL,0.0
Clorofila a,CLA-08CS,2018-03-21,μg/L,0.0
Alcalinidade Total,CLA-09,2018-03-20,mg/L,8.0
Alumínio Dissolvido ,CLA-09,2018-03-20,mg/L,0.0
Cloreto Total ,CLA-09,2018-03-20,mg/L,18.52
Cobre Dissolvido ,CLA-09,2018-03-20,mg/L,0.0
Condutividade Elétrica,CLA-09,2018-03-20,μS/cm,25.0
Cor Verdadeira ,CLA-09,2018-03-20,UC,12.1
DBO ,CLA-09,2018-03-20,mg/L,
DQO,CLA-09,2018-03-20,mg/L,
Dureza Total ,CLA-09,2018-03-20,mg/L,18.0
Potássio Total ,CLA-09,2018-03-20,mg/L,0.0
Ferro Dissolvido,CLA-09,2018-03-20,mg/L,0.1
Fósforo Total ,CLA-09,2018-03-20,mg/L,0.153
Manganês Total ,CLA-09,2018-03-20,mg/L,0.12
Nitrogênio Amoniacal ,CLA-09,2018-03-20,mg/L,
Nitrato ,CLA-09,2018-03-20,mg/L,0.023
Nitrito ,CLA-09,2018-03-20,mg/L,0.0
Nitrogênio total,CLA-09,2018-03-20,mg/L,
Óleos e Graxas,CLA-09,2018-03-20,mg/L,0.0
Oxigênio Dissolvido,CLA-09,2018-03-20,mg/L,5.0
pH,CLA-09,2018-03-20,mg/L,6.85
Sólidos Dissolvidos,CLA-09,2018-03-20,mg/L,12.0
Sulfato Total,CLA-09,2018-03-20,mg/L,8.0
Temperatura da Água,CLA-09,2018-03-20,°C,25.2
Transparência da Água,CLA-09,2018-03-20,m,
Turbidez,CLA-09,2018-03-20,NTU,20.18
Coliformes Totais,CLA-09,2018-03-20,NMP/100mL,0.0
Escherichia coli,CLA-09,2018-03-20,NPM/100mL,0.0
Clorofila a,CLA-09,2018-03-20,μg/L,0.0
Alcalinidade Total,CLA-ETE,,mg/L,
Alumínio Dissolvido ,CLA-ETE,,mg/L,
Cloreto Total ,CLA-ETE,,mg/L,
Cobre Dissolvido ,CLA-ETE,,mg/L,
Condutividade Elétrica,CLA-ETE,,μS/cm,
Cor Verdadeira ,CLA-ETE,,UC,
DBO ,CLA-ETE,,mg/L,
DQO,CLA-ETE,,mg/L,
Dureza Total ,CLA-ETE,,mg/L,
Potássio Total ,CLA-ETE,,mg/L,
Ferro Dissolvido,CLA-ETE,,mg/L,
Fósforo Total ,CLA-ETE,,mg/L,
Manganês Total ,CLA-ETE,,mg/L,
Nitrogênio Amoniacal ,CLA-ETE,,mg/L,
Nitrato ,CLA-ETE,,mg/L,
Nitrito ,CLA-ETE,,mg/L,
Nitrogênio total,CLA-ETE,,mg/L,
Óleos e Graxas,CLA-ETE,,mg/L,
Oxigênio Dissolvido,CLA-ETE,,mg/L,
pH,CLA-ETE,,mg/L,
Sólidos Dissolvidos,CLA-ETE,,mg/L,
Sulfato Total,CLA-ETE,,mg/L,
Temperatura da Água,CLA-ETE,,°C,
Transparência da Água,CLA-ETE,,m,
Turbidez,CLA-ETE,,NTU,
Coliformes Totais,CLA-ETE,,NMP/100mL,
Escherichia coli,CLA-ETE,,NPM/100mL,
Clorofila a,CLA-ETE,2018-03-20,μg/L,
Alcalinidade Total,CLA-01,2018-06-25,mg/L,8.0
Alumínio Dissolvido ,CLA-01,2018-06-25,mg/L,0.0
Cloreto Total ,CLA-01,2018-06-25,mg/L,16.0
Cobre Dissolvido ,CLA-01,2018-06-25,mg/L,0.009
Condutividade Elétrica,CLA-01,2018-06-25,μS/cm,18.0
Cor Verdadeira ,CLA-01,2018-06-25,UC,12.0
DBO ,CLA-01,2018-06-25,mg/L,
DQO,CLA-01,2018-06-25,mg/L,
Dureza Total ,CLA-01,2018-06-25,mg/L,10.0
Potássio Total ,CLA-01,2018-06-25,mg/L,0.0
Ferro Dissolvido,CLA-01,2018-06-25,mg/L,0.0
Fósforo Total ,CLA-01,2018-06-25,mg/L,0.08
Manganês Total ,CLA-01,2018-06-25,mg/L,0.09
Nitrogênio Amoniacal ,CLA-01,2018-06-25,mg/L,
Nitrato ,CLA-01,2018-06-25,mg/L,0.0
Nitrito ,CLA-01,2018-06-25,mg/L,0.0
Nitrogênio total,CLA-01,2018-06-25,mg/L,
Óleos e Graxas,CLA-01,2018-06-25,mg/L,0.0
Oxigênio Dissolvido,CLA-01,2018-06-25,mg/L,4.9
pH,CLA-01,2018-06-25,mg/L,6.8
Sólidos Dissolvidos,CLA-01,2018-06-25,mg/L,9.0
Sulfato Total,CLA-01,2018-06-25,mg/L,10.5
Temperatura da Água,CLA-01,2018-06-25,°C,25.5
Transparência da Água,CLA-01,2018-06-25,m,
Turbidez,CLA-01,2018-06-25,NTU,14.1
Coliformes Totais,CLA-01,2018-06-25,NMP/100mL,0.0
Escherichia coli,CLA-01,2018-06-25,NPM/100mL,0.0
Clorofila a,CLA-01,2018-06-25,μg/L,1.3
Alcalinidade Total,CLA-02,2018-06-25,mg/L,10.0
Alumínio Dissolvido ,CLA-02,2018-06-25,mg/L,0.0
Cloreto Total ,CLA-02,2018-06-25,mg/L,21.0
Cobre Dissolvido ,CLA-02,2018-06-25,mg/L,0.0
Condutividade Elétrica,CLA-02,2018-06-25,μS/cm,17.0
Cor Verdadeira ,CLA-02,2018-06-25,UC,6.1
DBO ,CLA-02,2018-06-25,mg/L,
DQO,CLA-02,2018-06-25,mg/L,
Dureza Total ,CLA-02,2018-06-25,mg/L,8.0
Potássio Total ,CLA-02,2018-06-25,mg/L,0.0
Ferro Dissolvido,CLA-02,2018-06-25,mg/L,0.0
Fósforo Total ,CLA-02,2018-06-25,mg/L,0.06
Manganês Total ,CLA-02,2018-06-25,mg/L,0.001
Nitrogênio Amoniacal ,CLA-02,2018-06-25,mg/L,
Nitrato ,CLA-02,2018-06-25,mg/L,0.0
Nitrito ,CLA-02,2018-06-25,mg/L,0.0
Nitrogênio total,CLA-02,2018-06-25,mg/L,
Óleos e Graxas,CLA-02,2018-06-25,mg/L,0.0
Oxigênio Dissolvido,CLA-02,2018-06-25,mg/L,5.1
pH,CLA-02,2018-06-25,mg/L,7.5
Sólidos Dissolvidos,CLA-02,2018-06-25,mg/L,8.0
Sulfato Total,CLA-02,2018-06-25,mg/L,14.2
Temperatura da Água,CLA-02,2018-06-25,°C,25.2
Transparência da Água,CLA-02,2018-06-25,m,
Turbidez,CLA-02,2018-06-25,NTU,15.0
Coliformes Totais,CLA-02,2018-06-25,NMP/100mL,4.0
Escherichia coli,CLA-02,2018-06-25,NPM/100mL,0.0
Clorofila a,CLA-02,2018-06-25,μg/L,1.4
Alcalinidade Total,CLA-03,2018-06-25,mg/L,14.0
Alumínio Dissolvido ,CLA-03,2018-06-25,mg/L,0.0
Cloreto Total ,CLA-03,2018-06-25,mg/L,10.0
Cobre Dissolvido ,CLA-03,2018-06-25,mg/L,0.0
Condutividade Elétrica,CLA-03,2018-06-25,μS/cm,20.0
Cor Verdadeira ,CLA-03,2018-06-25,UC,10.0
DBO ,CLA-03,2018-06-25,mg/L,
DQO,CLA-03,2018-06-25,mg/L,
Dureza Total ,CLA-03,2018-06-25,mg/L,10.0
Potássio Total ,CLA-03,2018-06-25,mg/L,0.0
Ferro Dissolvido,CLA-03,2018-06-25,mg/L,0.0
Fósforo Total ,CLA-03,2018-06-25,mg/L,0.06
Manganês Total ,CLA-03,2018-06-25,mg/L,0.0
Nitrogênio Amoniacal ,CLA-03,2018-06-25,mg/L,
Nitrato ,CLA-03,2018-06-25,mg/L,0.0
Nitrito ,CLA-03,2018-06-25,mg/L,0.0
Nitrogênio total,CLA-03,2018-06-25,mg/L,
Óleos e Graxas,CLA-03,2018-06-25,mg/L,0.0
Oxigênio Dissolvido,CLA-03,2018-06-25,mg/L,5.0
pH,CLA-03,2018-06-25,mg/L,7.1
Sólidos Dissolvidos,CLA-03,2018-06-25,mg/L,10.0
Sulfato Total,CLA-03,2018-06-25,mg/L,12.0
Temperatura da Água,CLA-03,2018-06-25,°C,24.5
Transparência da Água,CLA-03,2018-06-25,m,
Turbidez,CLA-03,2018-06-25,NTU,21.0
Coliformes Totais,CLA-03,2018-06-25,NMP/100mL,7.0
Escherichia coli,CLA-03,2018-06-25,NPM/100mL,0.0
Clorofila a,CLA-03,2018-06-25,μg/L,1.8
Alcalinidade Total,CLA-04,2018-06-25,mg/L,12.0
Alumínio Dissolvido ,CLA-04,2018-06-25,mg/L,0.0
Cloreto Total ,CLA-04,2018-06-25,mg/L,10.0
Cobre Dissolvido ,CLA-04,2018-06-25,mg/L,0.0
Condutividade Elétrica,CLA-04,2018-06-25,μS/cm,16.4
Cor Verdadeira ,CLA-04,2018-06-25,UC,80.4
DBO ,CLA-04,2018-06-25,mg/L,
DQO,CLA-04,2018-06-25,mg/L,
Dureza Total ,CLA-04,2018-06-25,mg/L,8.0
Potássio Total ,CLA-04,2018-06-25,mg/L,0.0
Ferro Dissolvido,CLA-04,2018-06-25,mg/L,0.0
Fósforo Total ,CLA-04,2018-06-25,mg/L,0.0
Manganês Total ,CLA-04,2018-06-25,mg/L,0.0
Nitrogênio Amoniacal ,CLA-04,2018-06-25,mg/L,
Nitrato ,CLA-04,2018-06-25,mg/L,0.0
Nitrito ,CLA-04,2018-06-25,mg/L,0.0
Nitrogênio total,CLA-04,2018-06-25,mg/L,
Óleos e Graxas,CLA-04,2018-06-25,mg/L,0.0
Oxigênio Dissolvido,CLA-04,2018-06-25,mg/L,5.2
pH,CLA-04,2018-06-25,mg/L,7.1
Sólidos Dissolvidos,CLA-04,2018-06-25,mg/L,8.0
Sulfato Total,CLA-04,2018-06-25,mg/L,12.0
Temperatura da Água,CLA-04,2018-06-25,°C,23.2
Transparência da Água,CLA-04,2018-06-25,m,
Turbidez,CLA-04,2018-06-25,NTU,10.0
Coliformes Totais,CLA-04,2018-06-25,NMP/100mL,0.0
Escherichia coli,CLA-04,2018-06-25,NPM/100mL,0.0
Clorofila a,CLA-04,2018-06-25,μg/L,2.6
Alcalinidade Total,CLA-05,2018-06-25,mg/L,16.0
Alumínio Dissolvido ,CLA-05,2018-06-25,mg/L,0.183
Cloreto Total ,CLA-05,2018-06-25,mg/L,46.3
Cobre Dissolvido ,CLA-05,2018-06-25,mg/L,0.008
Condutividade Elétrica,CLA-05,2018-06-25,μS/cm,32.0
Cor Verdadeira ,CLA-05,2018-06-25,UC,12.6
DBO ,CLA-05,2018-06-25,mg/L,
DQO,CLA-05,2018-06-25,mg/L,
Dureza Total ,CLA-05,2018-06-25,mg/L,22.0
Potássio Total ,CLA-05,2018-06-25,mg/L,0.0
Ferro Dissolvido,CLA-05,2018-06-25,mg/L,0.42
Fósforo Total ,CLA-05,2018-06-25,mg/L,1.1
Manganês Total ,CLA-05,2018-06-25,mg/L,0.212
Nitrogênio Amoniacal ,CLA-05,2018-06-25,mg/L,
Nitrato ,CLA-05,2018-06-25,mg/L,0.183
Nitrito ,CLA-05,2018-06-25,mg/L,0.008
Nitrogênio total,CLA-05,2018-06-25,mg/L,
Óleos e Graxas,CLA-05,2018-06-25,mg/L,1.4
Oxigênio Dissolvido,CLA-05,2018-06-25,mg/L,4.8
pH,CLA-05,2018-06-25,mg/L,7.4
Sólidos Dissolvidos,CLA-05,2018-06-25,mg/L,16.0
Sulfato Total,CLA-05,2018-06-25,mg/L,43.5
Temperatura da Água,CLA-05,2018-06-25,°C,23.8
Transparência da Água,CLA-05,2018-06-25,m,
Turbidez,CLA-05,2018-06-25,NTU,28.2
Coliformes Totais,CLA-05,2018-06-25,NMP/100mL,819.0
Escherichia coli,CLA-05,2018-06-25,NPM/100mL,25.0
Clorofila a,CLA-05,2018-06-25,μg/L,6.5
Alcalinidade Total,CLA-06,2018-06-25,mg/L,16.0
Alumínio Dissolvido ,CLA-06,2018-06-25,mg/L,0.01
Cloreto Total ,CLA-06,2018-06-25,mg/L,25.3
Cobre Dissolvido ,CLA-06,2018-06-25,mg/L,0.0
Condutividade Elétrica,CLA-06,2018-06-25,μS/cm,16.0
Cor Verdadeira ,CLA-06,2018-06-25,UC,10.0
DBO ,CLA-06,2018-06-25,mg/L,
DQO,CLA-06,2018-06-25,mg/L,
Dureza Total ,CLA-06,2018-06-25,mg/L,16.0
Potássio Total ,CLA-06,2018-06-25,mg/L,0.0
Ferro Dissolvido,CLA-06,2018-06-25,mg/L,0.42
Fósforo Total ,CLA-06,2018-06-25,mg/L,1.1
Manganês Total ,CLA-06,2018-06-25,mg/L,0.1
Nitrogênio Amoniacal ,CLA-06,2018-06-25,mg/L,
Nitrato ,CLA-06,2018-06-25,mg/L,0.11
Nitrito ,CLA-06,2018-06-25,mg/L,0.02
Nitrogênio total,CLA-06,2018-06-25,mg/L,
Óleos e Graxas,CLA-06,2018-06-25,mg/L,0.5
Oxigênio Dissolvido,CLA-06,2018-06-25,mg/L,4.9
pH,CLA-06,2018-06-25,mg/L,7.0
Sólidos Dissolvidos,CLA-06,2018-06-25,mg/L,8.0
Sulfato Total,CLA-06,2018-06-25,mg/L,23.5
Temperatura da Água,CLA-06,2018-06-25,°C,24.2
Transparência da Água,CLA-06,2018-06-25,m,
Turbidez,CLA-06,2018-06-25,NTU,20.0
Coliformes Totais,CLA-06,2018-06-25,NMP/100mL,0.0
Escherichia coli,CLA-06,2018-06-25,NPM/100mL,0.0
Clorofila a,CLA-06,2018-06-25,μg/L,2.4
Alcalinidade Total,CLA-06B,2018-06-25,mg/L,10.0
Alumínio Dissolvido ,CLA-06B,2018-06-25,mg/L,0.0
Cloreto Total ,CLA-06B,2018-06-25,mg/L,6.2
Cobre Dissolvido ,CLA-06B,2018-06-25,mg/L,0.0
Condutividade Elétrica,CLA-06B,2018-06-25,μS/cm,19.0
Cor Verdadeira ,CLA-06B,2018-06-25,UC,8.6
DBO ,CLA-06B,2018-06-25,mg/L,
DQO,CLA-06B,2018-06-25,mg/L,
Dureza Total ,CLA-06B,2018-06-25,mg/L,17.0
Potássio Total ,CLA-06B,2018-06-25,mg/L,0.0
Ferro Dissolvido,CLA-06B,2018-06-25,mg/L,0.41
Fósforo Total ,CLA-06B,2018-06-25,mg/L,0.184
Manganês Total ,CLA-06B,2018-06-25,mg/L,0.142
Nitrogênio Amoniacal ,CLA-06B,2018-06-25,mg/L,
Nitrato ,CLA-06B,2018-06-25,mg/L,0.136
Nitrito ,CLA-06B,2018-06-25,mg/L,0.005
Nitrogênio total,CLA-06B,2018-06-25,mg/L,
Óleos e Graxas,CLA-06B,2018-06-25,mg/L,0.0
Oxigênio Dissolvido,CLA-06B,2018-06-25,mg/L,4.8
pH,CLA-06B,2018-06-25,mg/L,7.4
Sólidos Dissolvidos,CLA-06B,2018-06-25,mg/L,10.0
Sulfato Total,CLA-06B,2018-06-25,mg/L,21.1
Temperatura da Água,CLA-06B,2018-06-25,°C,24.5
Transparência da Água,CLA-06B,2018-06-25,m,
Turbidez,CLA-06B,2018-06-25,NTU,16.0
Coliformes Totais,CLA-06B,2018-06-25,NMP/100mL,36.0
Escherichia coli,CLA-06B,2018-06-25,NPM/100mL,0.0
Clorofila a,CLA-06B,2018-06-25,μg/L,2.3
Alcalinidade Total,CLA-07,2018-06-25,mg/L,14.0
Alumínio Dissolvido ,CLA-07,2018-06-25,mg/L,0.0
Cloreto Total ,CLA-07,2018-06-25,mg/L,20.0
Cobre Dissolvido ,CLA-07,2018-06-25,mg/L,0.0
Condutividade Elétrica,CLA-07,2018-06-25,μS/cm,12.0
Cor Verdadeira ,CLA-07,2018-06-25,UC,10.6
DBO ,CLA-07,2018-06-25,mg/L,
DQO,CLA-07,2018-06-25,mg/L,
Dureza Total ,CLA-07,2018-06-25,mg/L,12.0
Potássio Total ,CLA-07,2018-06-25,mg/L,0.0
Ferro Dissolvido,CLA-07,2018-06-25,mg/L,0.0
Fósforo Total ,CLA-07,2018-06-25,mg/L,0.23
Manganês Total ,CLA-07,2018-06-25,mg/L,0.0
Nitrogênio Amoniacal ,CLA-07,2018-06-25,mg/L,
Nitrato ,CLA-07,2018-06-25,mg/L,0.0
Nitrito ,CLA-07,2018-06-25,mg/L,0.0
Nitrogênio total,CLA-07,2018-06-25,mg/L,
Óleos e Graxas,CLA-07,2018-06-25,mg/L,0.0
Oxigênio Dissolvido,CLA-07,2018-06-25,mg/L,5.0
pH,CLA-07,2018-06-25,mg/L,7.2
Sólidos Dissolvidos,CLA-07,2018-06-25,mg/L,6.0
Sulfato Total,CLA-07,2018-06-25,mg/L,16.5
Temperatura da Água,CLA-07,2018-06-25,°C,24.5
Transparência da Água,CLA-07,2018-06-25,m,
Turbidez,CLA-07,2018-06-25,NTU,21.0
Coliformes Totais,CLA-07,2018-06-25,NMP/100mL,0.0
Escherichia coli,CLA-07,2018-06-25,NPM/100mL,0.0
Clorofila a,CLA-07,2018-06-25,μg/L,2.5
Alcalinidade Total,CLA-08,2018-06-25,mg/L,14.0
Alumínio Dissolvido ,CLA-08,2018-06-25,mg/L,0.0
Cloreto Total ,CLA-08,2018-06-25,mg/L,12.0
Cobre Dissolvido ,CLA-08,2018-06-25,mg/L,0.0
Condutividade Elétrica,CLA-08,2018-06-25,μS/cm,14.0
Cor Verdadeira ,CLA-08,2018-06-25,UC,10.0
DBO ,CLA-08,2018-06-25,mg/L,
DQO,CLA-08,2018-06-25,mg/L,
Dureza Total ,CLA-08,2018-06-25,mg/L,16.0
Potássio Total ,CLA-08,2018-06-25,mg/L,0.0
Ferro Dissolvido,CLA-08,2018-06-25,mg/L,0.1
Fósforo Total ,CLA-08,2018-06-25,mg/L,0.0
Manganês Total ,CLA-08,2018-06-25,mg/L,0.01
Nitrogênio Amoniacal ,CLA-08,2018-06-25,mg/L,
Nitrato ,CLA-08,2018-06-25,mg/L,0.0
Nitrito ,CLA-08,2018-06-25,mg/L,0.0
Nitrogênio total,CLA-08,2018-06-25,mg/L,
Óleos e Graxas,CLA-08,2018-06-25,mg/L,0.0
Oxigênio Dissolvido,CLA-08,2018-06-25,mg/L,5.0
pH,CLA-08,2018-06-25,mg/L,7.3
Sólidos Dissolvidos,CLA-08,2018-06-25,mg/L,8.0
Sulfato Total,CLA-08,2018-06-25,mg/L,12.5
