sitio_cod,data,paramet,unidade,result,Latitude,Longitude
TM37,15/02/2023,clorofila a,µg/l,"1,07",-18.21276,-45.29314
TM37,13/12/2023,clorofila a,µg/l,"2,14",-18.21276,-45.29314
TM40,25/08/2022,turbidez,ntu,0,-18.22376,-45.26183
TM40,02/06/2022,clorofila a,µg/l,1,-18.22376,-45.26183
TM40,15/02/2023,turbidez,ntu,1.1,-18.22376,-45.26183
TM40,01/11/2022,turbidez,ntu,1.78,-18.22376,-45.26183
TM40,02/06/2022,turbidez,ntu,6.43,-18.22376,-45.26183
TM40,22/08/2019,turbidez,ntu,0.82,-18.22376,-45.26183
TM40,26/08/2021,turbidez,ntu,0.83,-18.22376,-45.26183
TM40,16/02/2017,clorofila a,,1.07,-18.22376,-45.26183
TM40,27/02/2018,clorofila a,,1.07,-18.22376,-45.26183
TM40,27/02/2019,clorofila a,,1.07,-18.22376,-45.26183
TM40,21/02/2020,clorofila a,,1.07,-18.22376,-45.26183
TM40,03/02/2021,clorofila a,,1.07,-18.22376,-45.26183
TM40,24/02/2022,clorofila a,,1.07,-18.22376,-45.26183
TM40,29/04/2016,clorofila a,,1.07,-18.22376,-45.26183
TM40,15/05/2018,clorofila a,,1.07,-18.22376,-45.26183
TM40,21/05/2019,clorofila a,,1.07,-18.22376,-45.26183
TM40,06/05/2020,clorofila a,,1.07,-18.22376,-45.26183
TM40,19/05/2021,clorofila a,,1.07,-18.22376,-45.26183
TM40,23/08/2016,clorofila a,,1.07,-18.22376,-45.26183
TM40,22/08/2019,clorofila a,,1.07,-18.22376,-45.26183
TM40,26/08/2020,clorofila a,,1.07,-18.22376,-45.26183
TM40,08/01/2016,clorofila a,,1.07,-18.22376,-45.26183
TM40,20/01/2018,clorofila a,,1.07,-18.22376,-45.26183
TM40,20/01/2019,clorofila a,,1.07,-18.22376,-45.26183
TM40,01/02/2020,clorofila a,,1.07,-18.22376,-45.26183
TM40,20/01/2019,turbidez,ntu,1.08,-18.22376,-45.26183
TM40,03/02/2021,turbidez,ntu,1.64,-18.22376,-45.26183
TM40,23/08/2016,turbidez,ntu,1.79,-18.22376,-45.26183
TM40,01/02/2020,turbidez,ntu,1.98,-18.22376,-45.26183
TM40,27/02/2019,turbidez,ntu,2.13,-18.22376,-45.26183
TM40,26/08/2021,clorofila a,,2.14,-18.22376,-45.26183
TM40,21/02/2020,turbidez,ntu,2.3,-18.22376,-45.26183
TM40,21/08/2018,turbidez,ntu,2.33,-18.22376,-45.26183
TM40,08/01/2016,turbidez,ntu,2.76,-18.22376,-45.26183
TM40,26/08/2020,turbidez,ntu,2.78,-18.22376,-45.26183
TM40,21/05/2019,turbidez,ntu,2.92,-18.22376,-45.26183
TM40,27/02/2018,turbidez,ntu,3.19,-18.22376,-45.26183
TM40,30/01/2021,clorofila a,,3.2,-18.22376,-45.26183
TM40,20/01/2018,turbidez,ntu,3.38,-18.22376,-45.26183
TM40,06/05/2020,turbidez,ntu,3.99,-18.22376,-45.26183
TM40,30/01/2021,turbidez,ntu,4.07,-18.22376,-45.26183
TM40,29/04/2016,turbidez,ntu,4.12,-18.22376,-45.26183
TM40,15/05/2018,turbidez,ntu,5.88,-18.22376,-45.26183
TM40,16/02/2017,turbidez,ntu,6.6,-18.22376,-45.26183
TM40,24/02/2022,turbidez,ntu,13.8,-18.22376,-45.26183
TM40,21/08/2018,clorofila a,,57.7,-18.22376,-45.26183
TM40,18/08/2023,clorofila a,µg/l,1.07,-18.22376,-45.26183
TM40,18/08/2023,turbidez,ntu,0.2,-18.22376,-45.26183
TM40,23/05/2023,clorofila a,µg/l,1,-18.22376,-45.26183
TM40,23/05/2023,turbidez,ntu,1.8,-18.22376,-45.26183
TM40,13/12/2023,turbidez,ntu,1.8,-18.22376,-45.26183
TM40,23/08/2022,clorofila a,µg/l,1,-18.22376,-45.26183
TM40,01/11/2022,clorofila a,µg/l,"1,07",-18.22376,-45.26183
TM40,15/02/2023,clorofila a,µg/l,"2,14",-18.22376,-45.26183
TM40,13/12/2023,clorofila a,µg/l,"1,07",-18.22376,-45.26183
