PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez,Latitude,Longitude
CLA-06,2022-07-02,1.0,1.5,,26.0,,,30.0,5.8,-18.569842526616718,-51.10807692400981
CLA-06B,2022-07-02,1.0,2.0,,18.0,,,22.0,3.31,-18.580416304138193,-51.10538491999489
CLA-07,2022-07-02,1.335,3.0,,18.0,,,20.0,3.36,-18.64469238815568,-51.05218482324302
CLA-08,2022-07-02,1.0,1.8,,20.0,,,30.0,6.63,-18.706763370925028,-51.008782838537705
CLA-08CS,2022-07-02,4.673,1.5,,20.0,,,24.0,1.89,-18.658334892800493,-51.06757829218299
CLA-09,2022-07-02,10.68,0.7,,20.0,,,22.0,2.82,-18.732783800131944,-51.003284514940056
CLA-ETE,2022-07-02,1.0,,,98.0,0.5,10.0,102.0,3.43,-18.567897827162238,-51.110681871352824
CLA-01,2022-10-04,1.0,1.5,,16.0,,,22.0,7.13,-18.40471469720768,-51.22287716980235
CLA-02,2022-10-04,1.0,2.0,,14.0,,,20.0,4.42,-18.478620867606217,-51.188607926708855
CLA-03,2022-10-04,1.0,2.0,,12.0,,,18.0,2.21,-18.528218997966466,-51.15191904306638
CLA-04,2022-10-04,1.0,1.5,,16.0,,,22.0,3.65,-18.554869066877227,-51.12675459317855
CLA-05,2022-10-04,1.0,1.5,,386.0,,,402.0,8.31,-18.55495622601502,-51.12622947820932
CLA-06,2022-10-04,1.0,2.9,,16.0,,,24.0,2.23,-18.569842526616718,-51.10807692400981
CLA-06B,2022-10-04,1.001,2.5,,16.0,,,22.0,2.36,-18.580416304138193,-51.10538491999489
CLA-07,2022-10-04,1.0,2.5,,16.0,,,20.0,1.27,-18.64469238815568,-51.05218482324302
CLA-08,2022-10-04,1.252,1.2,,28.0,,,34.0,12.8,-18.706763370925028,-51.008782838537705
CLA-08CS,2022-10-04,6.675,2.5,,16.0,,,22.0,3.28,-18.658334892800493,-51.06757829218299
CLA-09,2022-10-04,2.67,0.6,,16.0,,,20.0,2.09,-18.732783800131944,-51.003284514940056
CLA-ETE,2022-10-04,28.369,,,24.0,0.3,10.0,24.0,3.66,-18.567897827162238,-51.110681871352824
CLA-01,2023-01-15,1.0,0.2,,14.0,,,196.0,68.9,-18.40471469720768,-51.22287716980235
CLA-02,2023-01-15,16.688,0.2,,14.0,,,204.0,77.9,-18.478620867606217,-51.188607926708855
CLA-03,2023-01-15,1.0,0.4,,14.0,,,106.0,35.4,-18.528218997966466,-51.15191904306638
CLA-04,2023-01-15,1.0,0.4,,14.0,,,54.0,60.9,-18.554869066877227,-51.12675459317855
CLA-05,2023-01-15,1.0,0.3,,100.0,,,120.0,21.3,-18.55495622601502,-51.12622947820932
CLA-06,2023-01-15,4.45,0.26,,14.0,,,16.0,57.1,-18.569842526616718,-51.10807692400981
CLA-06B,2023-01-15,1.0,0.35,,14.0,,,28.0,54.9,-18.580416304138193,-51.10538491999489
CLA-07,2023-01-15,1.0,0.65,,16.0,,,26.0,22.4,-18.64469238815568,-51.05218482324302
CLA-08,2023-01-15,2.67,1.0,,16.0,,,124.0,13.8,-18.706763370925028,-51.008782838537705
CLA-08CS,2023-01-15,1.0,0.8,,16.0,,,100.0,14.6,-18.658334892800493,-51.06757829218299
CLA-09,2023-01-15,1.0,0.3,,16.0,,,42.0,18.6,-18.732783800131944,-51.003284514940056
CLA-ETE,2023-01-15,230.288,,,206.0,0.7,24.0,248.0,61.5,-18.567897827162238,-51.110681871352824
CLA-01,2023-04-10,2.57,1.3,,19.39,,,62.0,1.06,-18.40471469720768,-51.22287716980235
CLA-02,2023-04-10,1.08,1.4,,19.0,,,57.0,14.66,-18.478620867606217,-51.188607926708855
CLA-03,2023-04-10,4.37,1.2,,18.34,,,52.0,7.02,-18.528218997966466,-51.15191904306638
CLA-04,2023-04-10,0.42,0.75,,19.45,,,25.0,26.7,-18.554869066877227,-51.12675459317855
CLA-05,2023-04-10,0.05,0.4,,95.49,,,50.0,11.2,-18.55495622601502,-51.12622947820932
CLA-06,2023-04-10,1.95,1.1,,23.12,,,25.0,18.55,-18.569842526616718,-51.10807692400981
CLA-06B,2023-04-10,6.26,1.4,,101.08,,,25.0,22.2,-18.580416304138193,-51.10538491999489
CLA-07,2023-04-10,2.27,1.3,,19.31,,,52.0,20.5,-18.64469238815568,-51.05218482324302
CLA-08,2023-04-10,1.88,1.5,,20.07,,,25.0,20.3,-18.706763370925028,-51.008782838537705
CLA-08CS,2023-04-10,0.2,1.4,,18.73,,,25.0,18.13,-18.658334892800493,-51.06757829218299
CLA-09,2023-04-10,0.05,0.8,,17.32,,,25.0,23.6,-18.732783800131944,-51.003284514940056
CLA-ETE,2023-04-10,86.11,0.5,,55.0,0.7,25.0,66.0,18.38,-18.567897827162238,-51.110681871352824
CLA-01,2023-07-25,1.0,1.6,,14.0,,,26.0,6.19,-18.40471469720768,-51.22287716980235
CLA-02,2023-07-25,1.0,3.0,,16.0,,,38.0,3.47,-18.478620867606217,-51.188607926708855
