PONTO,DATA,Alcalinidade Total,Alcalinidade Total_UN,Alumínio Dissolvido ,Alumínio Dissolvido _UN,Cloreto Total ,Cloreto Total _UN,Clorofila a,Clorofila a_UN,Cobre Dissolvido ,Cobre Dissolvido _UN,Cobre Total,Cobre Total_UN,Coliformes Totais,Coliformes Totais_UN,Condutividade Elétrica,Condutividade Elétrica_UN,Cor Verdadeira ,Cor Verdadeira _UN,DBO ,DBO _UN,DQO,DQO_UN,Dureza Total ,Dureza Total _UN,Escherichia coli,Escherichia coli_UN,Ferro Dissolvido,Ferro Dissolvido_UN,Fito - Cyanobacteria (Microcystis cf. aeruginosa),Fito - Cyanobacteria (Microcystis cf. aeruginosa)_UN,Fitoplâncton Quantitativo,Fitoplâncton Quantitativo_UN,Fósforo Total ,Fósforo Total _UN,Manganês Total ,Manganês Total _UN,Nitrato ,Nitrato _UN,Nitrito ,Nitrito _UN,Nitrogênio Amoniacal ,Nitrogênio Amoniacal _UN,Nitrogênio total,Nitrogênio total_UN,Oxigênio Dissolvido,Oxigênio Dissolvido_UN,Potássio Total ,Potássio Total _UN,Sulfato Total,Sulfato Total_UN,Surfactantes,Surfactantes_UN,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Dissolvidos Totais_UN,Sólidos Dissolvidos_UN,Sólidos Sedimentáveis,Sólidos Sedimentáveis_UN,Sólidos Suspensos Totais,Sólidos Suspensos Totais_UN,Sólidos Totais,Sólidos Totais_UN,Temperatura da Água,Temperatura da Água_UN,Transparência da Água,Transparência da Água_UN,Turbidez,Turbidez_UN,Zoobentos Quantitativo,Zoobentos Quantitativo_UN,Zooplâncton Quantitativo,Zooplâncton Quantitativo_UN,pH,pH_UN,Óleos e Graxas,Óleos e Graxas_UN,Latitude,Longitude
CLA-01,2020-07-15,8.0,mg/L,0.001,mg/L,4.0,mg/L,0.4,μg/L,0.001,mg/L,,,640.0,NMP/100mL,15.0,μS/cm,22.0,UC,0.98,mg/L,16.23,mg/L,8.0,mg/L,0.0,NPM/100mL,0.1,mg/L,,,,,0.1,mg/L,0.001,mg/L,0.16,mg/L,0.001,mg/L,0.012,mg/L,0.12,mg/L,5.4,mg/L,,mg/L,0.001,mg/L,,,,7.0,mg/L,,,,,,7.0,mg/L,21.2,°C,1.6,m,1.86,NTU,,,,,8.0,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2020-07-15,8.0,mg/L,0.001,mg/L,6.0,mg/L,0.55,μg/L,0.002,mg/L,,,790.0,NMP/100mL,12.0,μS/cm,21.0,UC,1.12,mg/L,12.1,mg/L,8.0,mg/L,0.0,NPM/100mL,0.12,mg/L,,,,,0.21,mg/L,0.001,mg/L,0.1,mg/L,0.001,mg/L,0.021,mg/L,0.38,mg/L,5.2,mg/L,,mg/L,0.0,mg/L,,,,6.0,mg/L,,,,,,,mg/L,20.6,°C,1.5,m,2.12,NTU,,,,,8.0,mg/L,0.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2020-07-15,6.0,mg/L,0.002,mg/L,6.0,mg/L,0.38,μg/L,0.001,mg/L,,,650.0,NMP/100mL,17.0,μS/cm,18.0,UC,1.05,mg/L,31.16,mg/L,6.0,mg/L,0.0,NPM/100mL,0.21,mg/L,,,,,0.11,mg/L,0.002,mg/L,0.11,mg/L,0.012,mg/L,0.004,mg/L,0.03,mg/L,5.1,mg/L,,mg/L,0.001,mg/L,,,,8.0,mg/L,,,,,,,mg/L,22.3,°C,1.8,m,2.35,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2020-07-15,6.0,mg/L,0.001,mg/L,4.0,mg/L,0.7,μg/L,0.002,mg/L,,,800.0,NMP/100mL,20.0,μS/cm,20.0,UC,2.23,mg/L,31.621,mg/L,8.0,mg/L,0.0,NPM/100mL,0.105,mg/L,,,,,0.13,mg/L,0.101,mg/L,0.1,mg/L,0.1,mg/L,0.001,mg/L,0.032,mg/L,5.2,mg/L,,mg/L,0.0,mg/L,,,,10.0,mg/L,,,,,,,mg/L,22.6,°C,1.6,m,3.05,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2020-07-15,12.0,mg/L,0.025,mg/L,12.0,mg/L,1.0,μg/L,0.006,mg/L,,,15000.0,NMP/100mL,36.0,μS/cm,20.0,UC,3.52,mg/L,62.37,mg/L,8.0,mg/L,0.0,NPM/100mL,0.146,mg/L,,,,,0.371,mg/L,0.1,mg/L,0.12,mg/L,0.11,mg/L,0.032,mg/L,0.021,mg/L,5.3,mg/L,,mg/L,1.203,mg/L,,,,18.0,mg/L,,,,,,,mg/L,22.5,°C,0.2,m,2.69,NTU,,,,,8.5,mg/L,0.0,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2020-07-15,16.0,mg/L,0.001,mg/L,12.0,mg/L,0.45,μg/L,0.003,mg/L,,,1120.0,NMP/100mL,17.0,μS/cm,30.0,UC,1.84,mg/L,31.05,mg/L,14.0,mg/L,0.0,NPM/100mL,0.027,mg/L,,,,,0.158,mg/L,0.21,mg/L,0.001,mg/L,0.001,mg/L,0.023,mg/L,0.421,mg/L,5.0,mg/L,,mg/L,1.74,mg/L,,,,9.0,mg/L,,,,,,,mg/L,22.2,°C,1.8,m,3.43,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2020-07-15,16.0,mg/L,0.001,mg/L,8.0,mg/L,0.5,μg/L,0.002,mg/L,,,3840.0,NMP/100mL,18.0,μS/cm,10.0,UC,1.56,mg/L,28.77,mg/L,12.0,mg/L,0.0,NPM/100mL,0.092,mg/L,,,,,0.161,mg/L,0.1,mg/L,0.003,mg/L,0.003,mg/L,0.02,mg/L,0.0361,mg/L,5.1,mg/L,,mg/L,1.1,mg/L,,,,9.0,mg/L,,,,,,,mg/L,22.1,°C,1.6,m,1.76,NTU,,,,,8.5,mg/L,0.0,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2020-07-15,14.0,mg/L,0.001,mg/L,14.0,mg/L,0.48,μg/L,0.002,mg/L,,,2486.0,NMP/100mL,20.0,μS/cm,22.0,UC,1.48,mg/L,15.82,mg/L,8.0,mg/L,0.0,NPM/100mL,0.076,mg/L,,,,,0.378,mg/L,0.122,mg/L,0.005,mg/L,0.004,mg/L,0.016,mg/L,0.0371,mg/L,5.2,mg/L,,mg/L,0.001,mg/L,,,,10.0,mg/L,,,,,,,mg/L,22.5,°C,1.8,m,2.64,NTU,,,,,8.7,mg/L,0.0,mg/L,-18.64469238815568,-51.05218482324302
CLA-08,2020-07-15,8.0,mg/L,0.002,mg/L,12.0,mg/L,0.6,μg/L,0.003,mg/L,,,840.0,NMP/100mL,18.0,μS/cm,25.0,UC,1.36,mg/L,26.9,mg/L,8.0,mg/L,0.0,NPM/100mL,0.049,mg/L,,,,,0.001,mg/L,0.138,mg/L,0.001,mg/L,0.002,mg/L,0.012,mg/L,0.4121,mg/L,5.4,mg/L,,mg/L,0.001,mg/L,,,,9.0,mg/L,,,,,,,mg/L,22.6,°C,1.6,m,3.16,NTU,,,,,8.2,mg/L,0.0,mg/L,-18.706763370925028,-51.008782838537705
CLA-08CS,2020-07-15,8.0,mg/L,0.003,mg/L,12.0,mg/L,0.72,μg/L,0.002,mg/L,,,512.0,NMP/100mL,16.0,μS/cm,30.0,UC,1.28,mg/L,20.15,mg/L,8.0,mg/L,0.0,NPM/100mL,0.072,mg/L,,,,,0.001,mg/L,0.152,mg/L,0.001,mg/L,0.004,mg/L,0.011,mg/L,0.5514,mg/L,5.3,mg/L,,mg/L,0.003,mg/L,,,,8.0,mg/L,,,,,,,mg/L,22.8,°C,1.8,m,3.46,NTU,,,,,8.0,mg/L,0.0,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2020-07-15,4.0,mg/L,0.001,mg/L,16.0,mg/L,0.5,μg/L,0.016,mg/L,,,250.0,NMP/100mL,12.0,μS/cm,20.0,UC,1.142,mg/L,10.34,mg/L,12.0,mg/L,0.0,NPM/100mL,0.001,mg/L,,,,,0.001,mg/L,0.1,mg/L,0.001,mg/L,0.001,mg/L,0.001,mg/L,0.2,mg/L,5.5,mg/L,,mg/L,,mg/L,,,,6.0,mg/L,,,,,,,mg/L,22.7,°C,4.0,m,2.89,NTU,,,,,8.6,mg/L,0.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-ETE,2020-07-15,18.0,mg/L,0.101,mg/L,22.0,mg/L,1.16,μg/L,1.47,mg/L,,,15000.0,NMP/100mL,38.0,μS/cm,50.0,UC,4.158,mg/L,69.79,mg/L,8.0,mg/L,0.0,NPM/100mL,0.599,mg/L,,,,,0.163,mg/L,0.472,mg/L,0.281,mg/L,0.008,mg/L,0.021,mg/L,0.631,mg/L,5.0,mg/L,,mg/L,1.57,mg/L,,mg/L,,19.0,mg/L,,,mg/L,,mg/L,,mg/L,22.6,°C,0.8,m,20.24,NTU,,,,,8.6,mg/L,0.0,mg/L,-18.567897827162238,-51.110681871352824
CLA-01,2020-10-07,11.0,mg/L,0.001,mg/L,6.0,mg/L,2.1,μg/L,0.001,mg/L,,,370.0,NMP/100mL,18.0,μS/cm,24.0,UC,1.35,mg/L,14.33,mg/L,12.0,mg/L,114.0,NPM/100mL,0.003,mg/L,,,,,0.03,mg/L,0.002,mg/L,0.25,mg/L,0.001,mg/L,0.012,mg/L,0.264,mg/L,5.8,mg/L,,mg/L,4.01,mg/L,,,,9.0,mg/L,,,,,,,mg/L,28.6,°C,1.2,m,1.45,NTU,,,,,6.5,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2020-10-07,12.0,mg/L,0.001,mg/L,8.0,mg/L,2.34,μg/L,0.001,mg/L,,,768.0,NMP/100mL,16.0,μS/cm,24.0,UC,1.42,mg/L,13.26,mg/L,13.0,mg/L,88.0,NPM/100mL,0.002,mg/L,,,,,0.02,mg/L,0.001,mg/L,0.2,mg/L,0.001,mg/L,0.021,mg/L,0.223,mg/L,5.6,mg/L,,mg/L,4.0,mg/L,,,,8.0,mg/L,,,,,,,mg/L,28.4,°C,2.4,m,2.15,NTU,,,,,6.8,mg/L,0.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2020-10-07,14.0,mg/L,0.002,mg/L,7.0,mg/L,2.41,μg/L,0.001,mg/L,,,410.0,NMP/100mL,14.0,μS/cm,25.0,UC,1.53,mg/L,12.84,mg/L,14.0,mg/L,76.0,NPM/100mL,0.002,mg/L,,,,,0.02,mg/L,0.002,mg/L,0.23,mg/L,0.001,mg/L,0.004,mg/L,0.234,mg/L,5.6,mg/L,,mg/L,5.0,mg/L,,,,7.0,mg/L,,,,,,,mg/L,28.5,°C,2.0,m,2.21,NTU,,,,,6.2,mg/L,0.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2020-10-07,8.0,mg/L,0.04,mg/L,6.0,mg/L,2.85,μg/L,0.001,mg/L,,,440.0,NMP/100mL,22.0,μS/cm,28.0,UC,2.42,mg/L,21.07,mg/L,10.0,mg/L,41.0,NPM/100mL,0.03,mg/L,,,,,0.47,mg/L,0.001,mg/L,0.11,mg/L,0.001,mg/L,0.001,mg/L,0.115,mg/L,5.3,mg/L,,mg/L,0.18,mg/L,,,,11.0,mg/L,,,,,,,mg/L,28.9,°C,2.2,m,2.54,NTU,,,,,7.3,mg/L,0.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2020-10-07,16.0,mg/L,0.001,mg/L,14.0,mg/L,1.5,μg/L,0.008,mg/L,,,10000.0,NMP/100mL,41.0,μS/cm,26.0,UC,3.65,mg/L,65.36,mg/L,12.0,mg/L,210.0,NPM/100mL,0.82,mg/L,,,,,3.7,mg/L,0.11,mg/L,0.33,mg/L,0.005,mg/L,0.032,mg/L,0.371,mg/L,5.7,mg/L,,mg/L,,mg/L,,,,22.0,mg/L,,,,,,,mg/L,29.3,°C,0.1,m,2.54,NTU,,,,,7.6,mg/L,0.0,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2020-10-07,14.0,mg/L,0.001,mg/L,16.0,mg/L,1.59,μg/L,0.007,mg/L,,,1400.0,NMP/100mL,18.0,μS/cm,32.0,UC,1.3,mg/L,41.63,mg/L,16.0,mg/L,112.0,NPM/100mL,0.03,mg/L,,,,,0.33,mg/L,0.1,mg/L,0.001,mg/L,0.001,mg/L,0.023,mg/L,0.027,mg/L,5.4,mg/L,,mg/L,26.1,mg/L,,,,9.0,mg/L,,,,,,,mg/L,29.2,°C,2.0,m,2.48,NTU,,,,,7.8,mg/L,0.0,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2020-10-07,12.0,mg/L,0.001,mg/L,12.0,mg/L,5.2,μg/L,0.008,mg/L,,,1000.0,NMP/100mL,21.0,μS/cm,15.0,UC,1.32,mg/L,31.0,mg/L,14.0,mg/L,85.0,NPM/100mL,0.06,mg/L,,,,,0.33,mg/L,0.1,mg/L,0.001,mg/L,0.001,mg/L,0.02,mg/L,0.023,mg/L,5.6,mg/L,,mg/L,14.32,mg/L,,,,10.0,mg/L,,,,,,,mg/L,28.7,°C,2.1,m,2.36,NTU,,,,,7.6,mg/L,0.0,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2020-10-07,6.0,mg/L,0.001,mg/L,16.0,mg/L,4.5,μg/L,0.003,mg/L,,,830.0,NMP/100mL,26.0,μS/cm,14.0,UC,1.35,mg/L,14.22,mg/L,12.0,mg/L,72.0,NPM/100mL,0.001,mg/L,,,,,0.57,mg/L,0.112,mg/L,0.001,mg/L,0.001,mg/L,0.016,mg/L,0.019,mg/L,5.4,mg/L,,mg/L,8.32,mg/L,,,,10.0,mg/L,,,,,,,mg/L,28.5,°C,2.1,m,2.12,NTU,,,,,8.1,mg/L,0.0,mg/L,-18.64469238815568,-51.05218482324302
CLA-08,2020-10-07,14.0,mg/L,0.001,mg/L,10.0,mg/L,1.74,μg/L,0.005,mg/L,,,810.0,NMP/100mL,21.0,μS/cm,20.0,UC,1.12,mg/L,17.96,mg/L,10.0,mg/L,68.0,NPM/100mL,0.001,mg/L,,,,,0.33,mg/L,0.098,mg/L,0.001,mg/L,0.001,mg/L,0.012,mg/L,0.016,mg/L,5.8,mg/L,,mg/L,4.63,mg/L,,,,9.0,mg/L,,,,,,,mg/L,28.8,°C,1.6,m,2.84,NTU,,,,,8.0,mg/L,0.0,mg/L,-18.706763370925028,-51.008782838537705
CLA-08CS,2020-10-14,4.0,mg/L,0.001,mg/L,12.0,mg/L,1.29,μg/L,0.006,mg/L,,,630.0,NMP/100mL,18.0,μS/cm,26.0,UC,1.34,mg/L,18.32,mg/L,14.0,mg/L,43.0,NPM/100mL,0.23,mg/L,,,,,0.52,mg/L,0.084,mg/L,0.04,mg/L,0.001,mg/L,0.011,mg/L,0.053,mg/L,5.9,mg/L,,mg/L,3.82,mg/L,,,,9.0,mg/L,,,,,,,mg/L,27.9,°C,1.4,m,2.45,NTU,,,,,8.0,mg/L,0.0,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2020-10-15,6.0,mg/L,0.0001,mg/L,14.0,mg/L,1.3,μg/L,0.002,mg/L,,,421.0,NMP/100mL,16.0,μS/cm,23.0,UC,1.1,mg/L,10.13,mg/L,10.0,mg/L,45.0,NPM/100mL,0.001,mg/L,,,,,0.26,mg/L,0.1,mg/L,0.001,mg/L,0.001,mg/L,0.001,mg/L,0.004,mg/L,6.1,mg/L,,mg/L,0.008,mg/L,,,,8.0,mg/L,,,,,,,mg/L,28.4,°C,0.6,m,2.72,NTU,,,,,7.7,mg/L,0.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-ETE,2020-10-14,16.0,mg/L,0.1,mg/L,28.6,mg/L,3.41,μg/L,0.01,mg/L,,,10000.0,NMP/100mL,46.0,μS/cm,48.0,UC,5.67,mg/L,68.84,mg/L,12.0,mg/L,320.0,NPM/100mL,0.08,mg/L,,,,,0.75,mg/L,0.12,mg/L,0.42,mg/L,0.008,mg/L,0.021,mg/L,0.451,mg/L,5.0,mg/L,,mg/L,18.36,mg/L,,mg/L,,23.0,mg/L,,,mg/L,,mg/L,23.0,mg/L,29.5,°C,0.6,m,2.84,NTU,,,,,8.5,mg/L,0.0,mg/L,-18.567897827162238,-51.110681871352824
CLA-01,2021-10-03,8.5,mg/L,0.06,mg/L,0.93,mg/L,1.34,μg/L,0.008,mg/L,,,1730.0,NMP/100mL,24.8,μS/cm,3.0,UC,2.13,mg/L,20.0,mg/L,17.5,mg/L,4.1,NPM/100mL,0.19,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.26,mg/L,0.03,mg/L,0.2,mg/L,2.78,mg/L,6.64,mg/L,1.11,mg/L,0.8,mg/L,,,16.0,,,mg/L,,,,,,,29.7,°C,2.5,m,2.46,NTU,,,,,7.08,mg/L,10.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2021-10-03,9.5,mg/L,0.05,mg/L,0.8,mg/L,1.0,μg/L,0.008,mg/L,,,920.8,NMP/100mL,24.0,μS/cm,3.0,UC,2.01,mg/L,20.74,mg/L,11.5,mg/L,8.6,NPM/100mL,0.1,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,2.41,mg/L,5.71,mg/L,1.04,mg/L,0.8,mg/L,,,16.0,,,mg/L,,,,,,,29.4,°C,2.0,m,2.4,NTU,,,,,7.35,mg/L,10.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2021-10-03,10.0,mg/L,0.05,mg/L,0.8,mg/L,1.67,μg/L,0.008,mg/L,,,248.1,NMP/100mL,17.22,μS/cm,3.0,UC,2.14,mg/L,31.09,mg/L,13.0,mg/L,4.1,NPM/100mL,0.1,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,2.89,mg/L,7.94,mg/L,0.95,mg/L,0.8,mg/L,,,16.0,,,mg/L,,,,,,,28.4,°C,2.5,m,1.59,NTU,,,,,8.19,mg/L,10.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2021-10-03,9.5,mg/L,0.05,mg/L,0.8,mg/L,1.34,μg/L,0.008,mg/L,,,3600.0,NMP/100mL,16.62,μS/cm,3.0,UC,2.0,mg/L,20.0,mg/L,4.0,mg/L,426.0,NPM/100mL,0.1,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.24,mg/L,0.03,mg/L,0.2,mg/L,1.64,mg/L,6.44,mg/L,0.97,mg/L,0.8,mg/L,,,16.0,,,mg/L,,,,,,,25.9,°C,4.0,m,1.06,NTU,,,,,7.01,mg/L,10.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2021-10-03,9.0,mg/L,0.05,mg/L,0.8,mg/L,1.0,μg/L,0.008,mg/L,,,1980.0,NMP/100mL,21.9,μS/cm,3.0,UC,3.21,mg/L,20.0,mg/L,16.0,mg/L,8.5,NPM/100mL,0.1,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,1.58,mg/L,5.01,mg/L,0.93,mg/L,0.8,mg/L,,,18.0,,,mg/L,,,,,,,27.7,°C,2.5,m,1.73,NTU,,,,,7.13,mg/L,10.0,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2021-10-03,12.0,mg/L,0.05,mg/L,0.99,mg/L,2.67,μg/L,0.008,mg/L,,,770.1,NMP/100mL,21.6,μS/cm,3.0,UC,2.23,mg/L,20.0,mg/L,11.5,mg/L,1.0,NPM/100mL,0.1,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,2.87,mg/L,6.3,mg/L,0.92,mg/L,0.8,mg/L,,,16.0,,,mg/L,,,,,,,25.9,°C,3.0,m,1.44,NTU,,,,,6.94,mg/L,10.0,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2021-10-03,11.5,mg/L,0.05,mg/L,0.86,mg/L,1.0,μg/L,0.008,mg/L,,,1550.0,NMP/100mL,30.7,μS/cm,3.0,UC,2.29,mg/L,20.0,mg/L,15.0,mg/L,7.5,NPM/100mL,0.1,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,2.14,mg/L,5.05,mg/L,0.9,mg/L,0.8,mg/L,,,16.0,,,mg/L,,,,,,,27.1,°C,2.0,m,1.33,NTU,,,,,7.08,mg/L,10.0,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2021-10-03,9.0,mg/L,0.06,mg/L,1.11,mg/L,1.67,μg/L,0.008,mg/L,,,1980.0,NMP/100mL,35.7,μS/cm,3.0,UC,2.25,mg/L,20.0,mg/L,5.5,mg/L,1.0,NPM/100mL,0.1,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,3.08,mg/L,5.34,mg/L,0.89,mg/L,0.8,mg/L,,,16.0,,,mg/L,,,,,,,28.2,°C,2.5,m,1.09,NTU,,,,,7.05,mg/L,10.0,mg/L,-18.64469238815568,-51.05218482324302
CLA-08,2021-10-03,10.0,mg/L,0.06,mg/L,0.8,mg/L,2.34,μg/L,0.008,mg/L,,,1410.0,NMP/100mL,26.3,μS/cm,3.0,UC,2.06,mg/L,20.0,mg/L,16.0,mg/L,3.1,NPM/100mL,0.1,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,2.39,mg/L,6.5,mg/L,0.94,mg/L,0.8,mg/L,,,16.0,,,mg/L,,,,,,,27.2,°C,1.0,m,1.01,NTU,,,,,7.8,mg/L,10.0,mg/L,-18.706763370925028,-51.008782838537705
CLA-08CS,2021-10-03,7.5,mg/L,0.06,mg/L,0.8,mg/L,1.0,μg/L,0.008,mg/L,,,1980.0,NMP/100mL,24.4,μS/cm,3.0,UC,2.0,mg/L,20.0,mg/L,2.0,mg/L,410.6,NPM/100mL,0.12,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,1.56,mg/L,4.68,mg/L,0.95,mg/L,0.8,mg/L,,,16.0,,,mg/L,,,,,,,27.0,°C,2.5,m,1.28,NTU,,,,,7.4,mg/L,10.0,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2021-10-03,12.0,mg/L,0.05,mg/L,1.29,mg/L,1.0,μg/L,0.008,mg/L,,,1730.0,NMP/100mL,26.2,μS/cm,3.0,UC,2.0,mg/L,20.0,mg/L,10.0,mg/L,28.5,NPM/100mL,0.18,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,2.08,mg/L,6.3,mg/L,0.81,mg/L,1.91,mg/L,,,16.0,,,mg/L,,,,,,,26.2,°C,0.8,m,1.28,NTU,,,,,7.6,mg/L,10.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-ETE,2021-10-03,67.5,mg/L,0.06,mg/L,19.62,mg/L,36.32,μg/L,0.008,mg/L,,,1550000.0,NMP/100mL,46.0,μS/cm,15.0,UC,4.66,mg/L,172.99,mg/L,21.5,mg/L,1040000.0,NPM/100mL,0.31,mg/L,,,,,0.04,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,4.52,mg/L,4.84,mg/L,6.89,mg/L,13.26,mg/L,,,128.0,,,mg/L,,,,,,,28.4,°C,0.0,m,89.9,NTU,,,,,8.4,mg/L,10.0,mg/L,-18.567897827162238,-51.110681871352824
CLA-01,2022-01-04,8.5,mg/L,0.29,mg/L,0.8,mg/L,1.0,μg/L,0.008,mg/L,,,200.0,NMP/100mL,26.9,μS/cm,3.0,UC,3.13,mg/L,20.0,mg/L,12.5,mg/L,158.0,NPM/100mL,0.32,mg/L,,,,,0.02,mg/L,0.03,mg/L,0.22,mg/L,0.03,mg/L,0.2,mg/L,4.42,mg/L,7.51,mg/L,1.21,mg/L,1.41,mg/L,,,,12.0,mg/L,,,,,,28.0,mg/L,28.2,°C,,m,29.6,NTU,,,,,7.22,mg/L,10.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2022-01-04,8.0,mg/L,0.52,mg/L,0.8,mg/L,1.0,μg/L,0.008,mg/L,,,700.0,NMP/100mL,21.1,μS/cm,3.0,UC,3.2,mg/L,20.0,mg/L,12.5,mg/L,46.2,NPM/100mL,0.43,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,1.84,mg/L,7.15,mg/L,1.0,mg/L,1.01,mg/L,,,,12.0,mg/L,,,,,,20.0,mg/L,29.2,°C,,m,23.3,NTU,,,,,7.18,mg/L,12.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2022-01-04,8.5,mg/L,0.18,mg/L,0.8,mg/L,3.0,μg/L,0.008,mg/L,,,400.0,NMP/100mL,24.3,μS/cm,3.0,UC,3.52,mg/L,20.0,mg/L,12.0,mg/L,39.0,NPM/100mL,0.11,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,4.3,mg/L,7.28,mg/L,1.03,mg/L,1.28,mg/L,,,,12.0,mg/L,,,,,,150.0,mg/L,30.5,°C,,m,18.8,NTU,,,,,7.5,mg/L,10.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2022-01-04,7.5,mg/L,0.5,mg/L,0.8,mg/L,2.0,μg/L,0.008,mg/L,,,1690.0,NMP/100mL,20.8,μS/cm,3.0,UC,2.0,mg/L,20.0,mg/L,13.0,mg/L,73.7,NPM/100mL,0.45,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,3.21,mg/L,6.68,mg/L,1.07,mg/L,0.93,mg/L,,,,18.0,mg/L,,,,,,68.0,mg/L,27.5,°C,,m,33.3,NTU,,,,,6.87,mg/L,10.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2022-01-04,19.0,mg/L,0.05,mg/L,42.0,mg/L,1.34,μg/L,0.008,mg/L,,,214000.0,NMP/100mL,124.0,μS/cm,3.0,UC,40.47,mg/L,112.13,mg/L,34.0,mg/L,91300.0,NPM/100mL,0.35,mg/L,,,,,0.32,mg/L,0.07,mg/L,1.03,mg/L,0.03,mg/L,0.2,mg/L,3.27,mg/L,5.33,mg/L,3.32,mg/L,0.8,mg/L,,,,98.0,mg/L,,,,,,224.0,mg/L,28.3,°C,,m,15.6,NTU,,,,,6.49,mg/L,10.0,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2022-01-04,7.5,mg/L,0.48,mg/L,2.06,mg/L,1.0,μg/L,0.008,mg/L,,,791.5,NMP/100mL,25.0,μS/cm,3.0,UC,2.82,mg/L,20.0,mg/L,14.0,mg/L,574.8,NPM/100mL,0.39,mg/L,,,,,0.01,mg/L,0.03,mg/L,0.2,mg/L,0.03,mg/L,0.2,mg/L,3.7,mg/L,5.5,mg/L,1.04,mg/L,0.8,mg/L,,,,12.0,mg/L,,,,,,38.0,mg/L,28.6,°C,,m,32.5,NTU,,,,,6.79,mg/L,10.0,mg/L,-18.569842526616718,-51.10807692400981
