PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez
CLA-06B,2024-01-20,1.0,1.25,,16.0,,,108.0,8.28
CLA-07,2024-01-20,1.0,2.5,,16.0,,,28.0,4.3
CLA-08,2024-01-20,1.0,2.5,,20.0,,,82.0,3.34
CLA-08CS,2024-01-20,1.0,2.5,,18.0,,,112.0,3.54
CLA-01,2024-04-22,1.0,0.5,,22.0,,,34.0,49.3
CLA-02,2024-04-22,1.0,0.2,,18.0,,,30.0,51.1
CLA-03,2024-04-22,1.0,0.1,,14.0,,,26.0,62.8
CLA-04,2024-04-22,1.0,0.3,,16.0,,,70.0,85.7
CLA-05,2024-04-22,1.0,0.25,,214.0,,,226.0,22.1
CLA-06,2024-04-22,1.0,0.3,,18.0,,,30.0,83.9
CLA-06B,2024-04-22,1.0,0.35,,22.0,,,34.0,79.5
CLA-07,2024-04-22,16.02,0.35,,14.0,,,38.0,65.3
CLA-08,2024-04-22,14.685,0.35,,16.0,,,24.0,53.5
CLA-08CS,2024-04-22,3.671,0.4,,18.0,,,22.0,65.6
